fid,ele,dist_cum,lat,lon
0,889.15,0,32.589741,-116.466981
1,822.21,878.095069556,32.597648,-116.467476
2,810.52,1449.419646756,32.602157,-116.47042
3,797.58,2118.874243929,32.606783,-116.475002
4,781.04,2639.526619403,32.604643,-116.479939
5,749.53,3108.311125536,32.607375,-116.48375
6,747.5,3551.042692908,32.606951,-116.48844
7,766.75,3853.610409572,32.607325,-116.491633
8,769.86,4067.097176169,32.605492,-116.492328
9,765.63,4354.419615631,32.60508,-116.49535
10,750.69,4621.347321713,32.606414,-116.497717
11,722.34,4814.691425335,32.607494,-116.499334
12,734.98,5095.104627531,32.607705,-116.502311
13,765.9,5355.370123242,32.609275,-116.504372
14,788.54,5600.055799883,32.608886,-116.506938
15,822.44,6096.024393895,32.613296,-116.506059
16,853.45,6443.649354861,32.616189,-116.507485
17,859.63,6752.505366174,32.61893,-116.508068
18,870.75,7048.132287412,32.621418,-116.506937
19,892.47,7381.686111619,32.624395,-116.507444
20,920.17,7858.372386979,32.627815,-116.510521
21,923.85,8300.472198655,32.630007,-116.514456
22,986.68,8482.058830017,32.628882,-116.515862
23,1007.74,8604.529518452,32.627833,-116.51627
24,1025.79,9028.297913263,32.624239,-116.517804
25,1015.64,9355.041352742,32.625394,-116.521007
26,1005.56,9737.921876421,32.628129,-116.523497
27,1022.55,10174.569927657,32.631837,-116.525062
28,1034.91,10761.294304144,32.637045,-116.526163
29,1033.22,11027.863271498,32.639217,-116.524946
30,1027.61,11346.251209848,32.642034,-116.524291
31,1016.14,11803.233356108,32.645697,-116.52206
32,1032.85,12094.641653946,32.647833,-116.523869
33,1003.36,12496.116651102,32.648755,-116.528007
34,968.15,12840.04162241,32.651176,-116.530298
35,958,13315.42742141,32.651495,-116.535351
36,952.55,13732.476214652,32.652984,-116.539433
37,945.16,14139.488955878,32.653609,-116.543708
38,908.8,14888.137064224,32.658454,-116.549265
39,882.47,15083.76868041,32.657627,-116.547423
40,818.66,15559.477905951,32.655608,-116.542949
41,716.55,16170.335569148,32.660657,-116.545552
42,749.84,16505.621734268,32.662468,-116.54269
43,831.18,16789.067952031,32.664309,-116.540594
44,931.1,17142.490163238,32.666523,-116.537884
45,968.9,17448.4141681,32.666444,-116.534624
46,992.74,18140.656990219,32.672412,-116.532461
47,1050.27,18582.947899555,32.672123,-116.527758
48,1033.46,19204.998880549,32.671574,-116.521158
49,1059.95,19699.789372097,32.675814,-116.519516
50,1034.6,20071.793310859,32.679021,-116.520679
51,979.47,20415.828517854,32.682042,-116.521513
52,939.7,20806.160703094,32.682516,-116.517389
53,941.16,21726.150675739,32.689574,-116.512234
54,971.49,22892.793086984,32.693599,-116.50074
55,993.49,23341.869858207,32.696455,-116.497345
56,1033.03,23720.028490569,32.698946,-116.494591
57,1050.63,24566.97986926,32.706345,-116.496829
58,1021.3,25009.887349012,32.70995,-116.498862
59,939.59,25470.370879862,32.713976,-116.49766
60,948.64,26705.214722641,32.72492,-116.495232
61,956.82,27497.750800241,32.729045,-116.488328
